date,rec,daten,BAA,AAA,t3m,t10y,t5y,t1y,time,spr1,spr5,spr10,hyspr
1867-12-01,1,01dec1867,,,,,,,1867m12,,,,
1868-01-01,0,01jan1868,,,,,,,1868m1,,,,
1868-02-01,0,01feb1868,,,,,,,1868m2,,,,
1868-03-01,0,01mar1868,,,,,,,1868m3,,,,
1868-04-01,0,01apr1868,,,,,,,1868m4,,,,
1868-05-01,0,01may1868,,,,,,,1868m5,,,,
1868-06-01,0,01jun1868,,,,,,,1868m6,,,,
1868-07-01,0,01jul1868,,,,,,,1868m7,,,,
1868-08-01,0,01aug1868,,,,,,,1868m8,,,,
1868-09-01,0,01sep1868,,,,,,,1868m9,,,,
1868-10-01,0,01oct1868,,,,,,,1868m10,,,,
1868-11-01,0,01nov1868,,,,,,,1868m11,,,,
1868-12-01,0,01dec1868,,,,,,,1868m12,,,,
1869-01-01,0,01jan1869,,,,,,,1869m1,,,,
1869-02-01,0,01feb1869,,,,,,,1869m2,,,,
1869-03-01,0,01mar1869,,,,,,,1869m3,,,,
1869-04-01,0,01apr1869,,,,,,,1869m4,,,,
1869-05-01,0,01may1869,,,,,,,1869m5,,,,
1869-06-01,0,01jun1869,,,,,,,1869m6,,,,
1869-07-01,1,01jul1869,,,,,,,1869m7,,,,
1869-08-01,1,01aug1869,,,,,,,1869m8,,,,
1869-09-01,1,01sep1869,,,,,,,1869m9,,,,
1869-10-01,1,01oct1869,,,,,,,1869m10,,,,
1869-11-01,1,01nov1869,,,,,,,1869m11,,,,
1869-12-01,1,01dec1869,,,,,,,1869m12,,,,
1870-01-01,1,01jan1870,,,,,,,1870m1,,,,
1870-02-01,1,01feb1870,,,,,,,1870m2,,,,
1870-03-01,1,01mar1870,,,,,,,1870m3,,,,
1870-04-01,1,01apr1870,,,,,,,1870m4,,,,
1870-05-01,1,01may1870,,,,,,,1870m5,,,,
1870-06-01,1,01jun1870,,,,,,,1870m6,,,,
1870-07-01,1,01jul1870,,,,,,,1870m7,,,,
1870-08-01,1,01aug1870,,,,,,,1870m8,,,,
1870-09-01,1,01sep1870,,,,,,,1870m9,,,,
1870-10-01,1,01oct1870,,,,,,,1870m10,,,,
1870-11-01,1,01nov1870,,,,,,,1870m11,,,,
1870-12-01,1,01dec1870,,,,,,,1870m12,,,,
1871-01-01,0,01jan1871,,,,,,,1871m1,,,,
1871-02-01,0,01feb1871,,,,,,,1871m2,,,,
1871-03-01,0,01mar1871,,,,,,,1871m3,,,,
1871-04-01,0,01apr1871,,,,,,,1871m4,,,,
1871-05-01,0,01may1871,,,,,,,1871m5,,,,
1871-06-01,0,01jun1871,,,,,,,1871m6,,,,
1871-07-01,0,01jul1871,,,,,,,1871m7,,,,
1871-08-01,0,01aug1871,,,,,,,1871m8,,,,
1871-09-01,0,01sep1871,,,,,,,1871m9,,,,
1871-10-01,0,01oct1871,,,,,,,1871m10,,,,
1871-11-01,0,01nov1871,,,,,,,1871m11,,,,
1871-12-01,0,01dec1871,,,,,,,1871m12,,,,
1872-01-01,0,01jan1872,,,,,,,1872m1,,,,
1872-02-01,0,01feb1872,,,,,,,1872m2,,,,
1872-03-01,0,01mar1872,,,,,,,1872m3,,,,
1872-04-01,0,01apr1872,,,,,,,1872m4,,,,
1872-05-01,0,01may1872,,,,,,,1872m5,,,,
1872-06-01,0,01jun1872,,,,,,,1872m6,,,,
1872-07-01,0,01jul1872,,,,,,,1872m7,,,,
1872-08-01,0,01aug1872,,,,,,,1872m8,,,,
1872-09-01,0,01sep1872,,,,,,,1872m9,,,,
1872-10-01,0,01oct1872,,,,,,,1872m10,,,,
1872-11-01,0,01nov1872,,,,,,,1872m11,,,,
1872-12-01,0,01dec1872,,,,,,,1872m12,,,,
1873-01-01,0,01jan1873,,,,,,,1873m1,,,,
1873-02-01,0,01feb1873,,,,,,,1873m2,,,,
1873-03-01,0,01mar1873,,,,,,,1873m3,,,,
1873-04-01,0,01apr1873,,,,,,,1873m4,,,,
1873-05-01,0,01may1873,,,,,,,1873m5,,,,
1873-06-01,0,01jun1873,,,,,,,1873m6,,,,
1873-07-01,0,01jul1873,,,,,,,1873m7,,,,
1873-08-01,0,01aug1873,,,,,,,1873m8,,,,
1873-09-01,0,01sep1873,,,,,,,1873m9,,,,
1873-10-01,0,01oct1873,,,,,,,1873m10,,,,
1873-11-01,1,01nov1873,,,,,,,1873m11,,,,
1873-12-01,1,01dec1873,,,,,,,1873m12,,,,
1874-01-01,1,01jan1874,,,,,,,1874m1,,,,
1874-02-01,1,01feb1874,,,,,,,1874m2,,,,
1874-03-01,1,01mar1874,,,,,,,1874m3,,,,
1874-04-01,1,01apr1874,,,,,,,1874m4,,,,
1874-05-01,1,01may1874,,,,,,,1874m5,,,,
1874-06-01,1,01jun1874,,,,,,,1874m6,,,,
1874-07-01,1,01jul1874,,,,,,,1874m7,,,,
1874-08-01,1,01aug1874,,,,,,,1874m8,,,,
1874-09-01,1,01sep1874,,,,,,,1874m9,,,,
1874-10-01,1,01oct1874,,,,,,,1874m10,,,,
1874-11-01,1,01nov1874,,,,,,,1874m11,,,,
1874-12-01,1,01dec1874,,,,,,,1874m12,,,,
1875-01-01,1,01jan1875,,,,,,,1875m1,,,,
1875-02-01,1,01feb1875,,,,,,,1875m2,,,,
1875-03-01,1,01mar1875,,,,,,,1875m3,,,,
1875-04-01,1,01apr1875,,,,,,,1875m4,,,,
1875-05-01,1,01may1875,,,,,,,1875m5,,,,
1875-06-01,1,01jun1875,,,,,,,1875m6,,,,
1875-07-01,1,01jul1875,,,,,,,1875m7,,,,
1875-08-01,1,01aug1875,,,,,,,1875m8,,,,
1875-09-01,1,01sep1875,,,,,,,1875m9,,,,
1875-10-01,1,01oct1875,,,,,,,1875m10,,,,
1875-11-01,1,01nov1875,,,,,,,1875m11,,,,
1875-12-01,1,01dec1875,,,,,,,1875m12,,,,
1876-01-01,1,01jan1876,,,,,,,1876m1,,,,
1876-02-01,1,01feb1876,,,,,,,1876m2,,,,
1876-03-01,1,01mar1876,,,,,,,1876m3,,,,
1876-04-01,1,01apr1876,,,,,,,1876m4,,,,
1876-05-01,1,01may1876,,,,,,,1876m5,,,,
1876-06-01,1,01jun1876,,,,,,,1876m6,,,,
1876-07-01,1,01jul1876,,,,,,,1876m7,,,,
1876-08-01,1,01aug1876,,,,,,,1876m8,,,,
1876-09-01,1,01sep1876,,,,,,,1876m9,,,,
1876-10-01,1,01oct1876,,,,,,,1876m10,,,,
1876-11-01,1,01nov1876,,,,,,,1876m11,,,,
1876-12-01,1,01dec1876,,,,,,,1876m12,,,,
1877-01-01,1,01jan1877,,,,,,,1877m1,,,,
1877-02-01,1,01feb1877,,,,,,,1877m2,,,,
1877-03-01,1,01mar1877,,,,,,,1877m3,,,,
1877-04-01,1,01apr1877,,,,,,,1877m4,,,,
1877-05-01,1,01may1877,,,,,,,1877m5,,,,
1877-06-01,1,01jun1877,,,,,,,1877m6,,,,
1877-07-01,1,01jul1877,,,,,,,1877m7,,,,
1877-08-01,1,01aug1877,,,,,,,1877m8,,,,
1877-09-01,1,01sep1877,,,,,,,1877m9,,,,
1877-10-01,1,01oct1877,,,,,,,1877m10,,,,
1877-11-01,1,01nov1877,,,,,,,1877m11,,,,
1877-12-01,1,01dec1877,,,,,,,1877m12,,,,
1878-01-01,1,01jan1878,,,,,,,1878m1,,,,
1878-02-01,1,01feb1878,,,,,,,1878m2,,,,
1878-03-01,1,01mar1878,,,,,,,1878m3,,,,
1878-04-01,1,01apr1878,,,,,,,1878m4,,,,
1878-05-01,1,01may1878,,,,,,,1878m5,,,,
1878-06-01,1,01jun1878,,,,,,,1878m6,,,,
1878-07-01,1,01jul1878,,,,,,,1878m7,,,,
1878-08-01,1,01aug1878,,,,,,,1878m8,,,,
